EAR,MAR,TIME
0.28608294096219283,0.016184240016386277,15:52:23.577788
0.28608294096219283,0.016184240016386277,15:52:23.577788
0.21475405483291993,0.014752116215370962,15:52:23.928697
0.28608294096219283,0.016184240016386277,15:52:23.577788
0.21475405483291993,0.014752116215370962,15:52:23.928697
0.25090010231513166,0.013921209164422039,15:52:24.336609
0.28608294096219283,0.016184240016386277,15:52:23.577788
0.21475405483291993,0.014752116215370962,15:52:23.928697
0.25090010231513166,0.013921209164422039,15:52:24.336609
0.25587604203415887,0.014409824023774448,15:52:24.660604
0.28608294096219283,0.016184240016386277,15:52:23.577788
0.21475405483291993,0.014752116215370962,15:52:23.928697
0.25090010231513166,0.013921209164422039,15:52:24.336609
0.25587604203415887,0.014409824023774448,15:52:24.660604
0.2447767106289782,0.015672870826501723,15:52:25.008252
0.28608294096219283,0.016184240016386277,15:52:23.577788
0.21475405483291993,0.014752116215370962,15:52:23.928697
0.25090010231513166,0.013921209164422039,15:52:24.336609
0.25587604203415887,0.014409824023774448,15:52:24.660604
0.2447767106289782,0.015672870826501723,15:52:25.008252
0.21424156476740644,0.014278521075648106,15:52:25.462221
0.28608294096219283,0.016184240016386277,15:52:23.577788
0.21475405483291993,0.014752116215370962,15:52:23.928697
0.25090010231513166,0.013921209164422039,15:52:24.336609
0.25587604203415887,0.014409824023774448,15:52:24.660604
0.2447767106289782,0.015672870826501723,15:52:25.008252
0.21424156476740644,0.014278521075648106,15:52:25.462221
0.2267314297602784,0.011013514653865906,15:52:25.844588
0.28608294096219283,0.016184240016386277,15:52:23.577788
0.21475405483291993,0.014752116215370962,15:52:23.928697
0.25090010231513166,0.013921209164422039,15:52:24.336609
0.25587604203415887,0.014409824023774448,15:52:24.660604
0.2447767106289782,0.015672870826501723,15:52:25.008252
0.21424156476740644,0.014278521075648106,15:52:25.462221
0.2267314297602784,0.011013514653865906,15:52:25.844588
0.23970275230371854,0.015444628576635144,15:52:26.185690
0.28608294096219283,0.016184240016386277,15:52:23.577788
0.21475405483291993,0.014752116215370962,15:52:23.928697
0.25090010231513166,0.013921209164422039,15:52:24.336609
0.25587604203415887,0.014409824023774448,15:52:24.660604
0.2447767106289782,0.015672870826501723,15:52:25.008252
0.21424156476740644,0.014278521075648106,15:52:25.462221
0.2267314297602784,0.011013514653865906,15:52:25.844588
0.23970275230371854,0.015444628576635144,15:52:26.185690
0.22482944993374737,0.013490364132715224,15:52:26.531802
0.28608294096219283,0.016184240016386277,15:52:23.577788
0.21475405483291993,0.014752116215370962,15:52:23.928697
0.25090010231513166,0.013921209164422039,15:52:24.336609
0.25587604203415887,0.014409824023774448,15:52:24.660604
0.2447767106289782,0.015672870826501723,15:52:25.008252
0.21424156476740644,0.014278521075648106,15:52:25.462221
0.2267314297602784,0.011013514653865906,15:52:25.844588
0.23970275230371854,0.015444628576635144,15:52:26.185690
0.22482944993374737,0.013490364132715224,15:52:26.531802
0.2476181547179001,0.012498474400433692,15:52:26.876180
0.28608294096219283,0.016184240016386277,15:52:23.577788
0.21475405483291993,0.014752116215370962,15:52:23.928697
0.25090010231513166,0.013921209164422039,15:52:24.336609
0.25587604203415887,0.014409824023774448,15:52:24.660604
0.2447767106289782,0.015672870826501723,15:52:25.008252
0.21424156476740644,0.014278521075648106,15:52:25.462221
0.2267314297602784,0.011013514653865906,15:52:25.844588
0.23970275230371854,0.015444628576635144,15:52:26.185690
0.22482944993374737,0.013490364132715224,15:52:26.531802
0.2476181547179001,0.012498474400433692,15:52:26.876180
0.24284451325901335,0.013279629050460798,15:52:27.235508
0.28608294096219283,0.016184240016386277,15:52:23.577788
0.21475405483291993,0.014752116215370962,15:52:23.928697
0.25090010231513166,0.013921209164422039,15:52:24.336609
0.25587604203415887,0.014409824023774448,15:52:24.660604
0.2447767106289782,0.015672870826501723,15:52:25.008252
0.21424156476740644,0.014278521075648106,15:52:25.462221
0.2267314297602784,0.011013514653865906,15:52:25.844588
0.23970275230371854,0.015444628576635144,15:52:26.185690
0.22482944993374737,0.013490364132715224,15:52:26.531802
0.2476181547179001,0.012498474400433692,15:52:26.876180
0.24284451325901335,0.013279629050460798,15:52:27.235508
0.23337885292108473,0.016459762602275187,15:52:27.599714
0.28608294096219283,0.016184240016386277,15:52:23.577788
0.21475405483291993,0.014752116215370962,15:52:23.928697
0.25090010231513166,0.013921209164422039,15:52:24.336609
0.25587604203415887,0.014409824023774448,15:52:24.660604
0.2447767106289782,0.015672870826501723,15:52:25.008252
0.21424156476740644,0.014278521075648106,15:52:25.462221
0.2267314297602784,0.011013514653865906,15:52:25.844588
